state,cdate,confirmed,dead,pop2019
Alabama,2020-03-26,517,1,4903185
Alaska,2020-03-26,56,1,731545
Arizona,2020-03-26,508,8,7278717
Arkansas,2020-03-26,335,2,3017804
California,2020-03-26,3899,81,39512223
Colorado,2020-03-26,1430,19,5758736
Connecticut,2020-03-26,1012,21,3565287
Delaware,2020-03-26,130,1,973764
District of Columbia,2020-03-26,231,3,705749
Florida,2020-03-26,2357,29,21477737
Georgia,2020-03-26,1525,48,10617423
Hawaii,2020-03-26,95,0,1415872
Idaho,2020-03-26,146,3,1787065
Illinois,2020-03-26,2538,26,12671821
Indiana,2020-03-26,645,17,6732219
Iowa,2020-03-26,179,1,3155070
Kansas,2020-03-26,172,3,2913314
Kentucky,2020-03-26,247,5,4467673
Louisiana,2020-03-26,2304,83,4648794
Maine,2020-03-26,155,0,1344212
Maryland,2020-03-26,583,4,6045680
Massachusetts,2020-03-26,2417,25,6892503
Michigan,2020-03-26,2845,61,9986857
Minnesota,2020-03-26,344,2,5639632
Mississippi,2020-03-26,485,6,2976149
Missouri,2020-03-26,520,9,6137428
Montana,2020-03-26,90,0,1068778
Nebraska,2020-03-26,74,0,1934408
Nevada,2020-03-26,420,10,3080156
New Hampshire,2020-03-26,137,1,1359711
New Jersey,2020-03-26,6876,81,8882190
New Mexico,2020-03-26,113,1,2096829
New York,2020-03-26,37877,385,19453561
North Carolina,2020-03-26,738,3,10488084
North Dakota,2020-03-26,51,0,762062
Ohio,2020-03-26,868,15,11689100
Oklahoma,2020-03-26,248,7,3956971
Oregon,2020-03-26,316,11,4217737
Pennsylvania,2020-03-26,1795,18,12801989
Rhode Island,2020-03-26,165,0,1059361
South Carolina,2020-03-26,424,9,5148714
South Dakota,2020-03-26,46,1,884659
Tennessee,2020-03-26,1097,3,6829174
Texas,2020-03-26,1563,21,28995881
Utah,2020-03-26,396,1,3205958
Vermont,2020-03-26,158,9,623989
Virginia,2020-03-26,466,10,8535519
Washington,2020-03-26,3207,150,7614893
West Virginia,2020-03-26,52,0,1792147
Wisconsin,2020-03-26,728,10,5822434
Wyoming,2020-03-26,53,0,578759
