state,cdate,confirmed,pop2019
Alabama,2020-03-28,694,4903185
Alaska,2020-03-28,85,731545
Arizona,2020-03-28,773,7278717
Arkansas,2020-03-28,409,3017804
California,2020-03-28,5095,39512223
Colorado,2020-03-28,1740,5758736
Connecticut,2020-03-28,1524,3565287
Delaware,2020-03-28,214,973764
District of Columbia,2020-03-28,304,705749
Florida,2020-03-28,3763,21477737
Georgia,2020-03-28,2366,10617423
Hawaii,2020-03-28,149,1415872
Idaho,2020-03-28,234,1787065
Illinois,2020-03-28,3491,12671821
Indiana,2020-03-28,1233,6732219
Iowa,2020-03-28,298,3155070
Kansas,2020-03-28,266,2913314
Kentucky,2020-03-28,380,4467673
Louisiana,2020-03-28,3315,4648794
Maine,2020-03-28,211,1344212
Maryland,2020-03-28,995,6045680
Massachusetts,2020-03-28,4257,6892503
Michigan,2020-03-28,4650,9986857
Minnesota,2020-03-28,441,5639632
Mississippi,2020-03-28,663,2976149
Missouri,2020-03-28,836,6137428
Montana,2020-03-28,129,1068778
Nebraska,2020-03-28,96,1934408
Nevada,2020-03-28,626,3080156
New Hampshire,2020-03-28,187,1359711
New Jersey,2020-03-28,11124,8882190
New Mexico,2020-03-28,208,2096829
New York,2020-03-28,52410,19453561
North Carolina,2020-03-28,1020,10488084
North Dakota,2020-03-28,94,762062
Ohio,2020-03-28,1406,11689100
Oklahoma,2020-03-28,377,3956971
Oregon,2020-03-28,479,4217737
Pennsylvania,2020-03-28,2845,12801989
Rhode Island,2020-03-28,239,1059361
South Carolina,2020-03-28,660,5148714
South Dakota,2020-03-28,68,884659
Tennessee,2020-03-28,1511,6829174
Texas,2020-03-28,2455,28995881
Utah,2020-03-28,602,3205958
Vermont,2020-03-28,211,623989
Virginia,2020-03-28,740,8535519
Washington,2020-03-28,4030,7614893
West Virginia,2020-03-28,96,1792147
Wisconsin,2020-03-28,1055,5822434
Wyoming,2020-03-28,82,578759
