Category: All categories

Day,Corona: (United States)
2020-01-01,1
2020-01-02,1
2020-01-03,1
2020-01-04,1
2020-01-05,1
2020-01-06,1
2020-01-07,1
2020-01-08,1
2020-01-09,1
2020-01-10,1
2020-01-11,1
2020-01-12,1
2020-01-13,1
2020-01-14,1
2020-01-15,1
2020-01-16,1
2020-01-17,1
2020-01-18,1
2020-01-19,1
2020-01-20,1
2020-01-21,2
2020-01-22,2
2020-01-23,3
2020-01-24,5
2020-01-25,5
2020-01-26,7
2020-01-27,9
2020-01-28,9
2020-01-29,9
2020-01-30,11
2020-01-31,12
2020-02-01,10
2020-02-02,8
2020-02-03,7
2020-02-04,6
2020-02-05,6
2020-02-06,6
2020-02-07,7
2020-02-08,6
2020-02-09,6
2020-02-10,6
2020-02-11,6
2020-02-12,5
2020-02-13,6
2020-02-14,5
2020-02-15,5
2020-02-16,5
2020-02-17,5
2020-02-18,5
2020-02-19,4
2020-02-20,4
2020-02-21,4
2020-02-22,4
2020-02-23,5
2020-02-24,7
2020-02-25,11
2020-02-26,15
2020-02-27,19
2020-02-28,20
2020-02-29,22
2020-03-01,18
2020-03-02,26
2020-03-03,25
2020-03-04,24
2020-03-05,29
2020-03-06,31
2020-03-07,30
2020-03-08,27
2020-03-09,36
2020-03-10,43
2020-03-11,55
2020-03-12,100
2020-03-13,93
2020-03-14,79
2020-03-15,77
2020-03-16,89
2020-03-17,82
2020-03-18,79
2020-03-19,78
2020-03-20,78
2020-03-21,70
2020-03-22,69
2020-03-23,66
2020-03-24,58
2020-03-25,56
2020-03-26,57
2020-03-27,54
2020-03-28,52
2020-03-29,49
2020-03-30,44
2020-03-31,41
2020-04-01,41
2020-04-02,39
2020-04-03,38
2020-04-04,39
2020-04-05,38
2020-04-06,34
2020-04-07,30
2020-04-08,28
2020-04-09,25
2020-04-10,24
2020-04-11,24
2020-04-12,22
2020-04-13,21
2020-04-14,19
2020-04-15,18
2020-04-16,19
2020-04-17,17
2020-04-18,17
2020-04-19,16
2020-04-20,15
2020-04-21,15
2020-04-22,15
2020-04-23,15
2020-04-24,14
2020-04-25,14
2020-04-26,13
2020-04-27,13
2020-04-28,12
2020-04-29,12
2020-04-30,11
2020-05-01,11
2020-05-02,11
2020-05-03,11
2020-05-04,11
2020-05-05,11
2020-05-06,11
2020-05-07,10
2020-05-08,10
2020-05-09,10
2020-05-10,10
2020-05-11,10
2020-05-12,10
2020-05-13,9
2020-05-14,9
2020-05-15,9
2020-05-16,9
2020-05-17,9
2020-05-18,8
2020-05-19,8
2020-05-20,8
2020-05-21,8
2020-05-22,7
2020-05-23,8
2020-05-24,8
2020-05-25,8
2020-05-26,7
2020-05-27,7
2020-05-28,6
2020-05-29,6
2020-05-30,6
2020-05-31,5
2020-06-01,6
2020-06-02,5
2020-06-03,5
2020-06-04,6
2020-06-05,6
2020-06-06,6
2020-06-07,5
2020-06-08,5
2020-06-09,5
2020-06-10,6
2020-06-11,6
2020-06-12,6
2020-06-13,6
2020-06-14,5
2020-06-15,6
2020-06-16,6
2020-06-17,6
2020-06-18,6
2020-06-19,6
2020-06-20,6
2020-06-21,6
2020-06-22,6
2020-06-23,6
2020-06-24,7
2020-06-25,7
2020-06-26,8
2020-06-27,8
2020-06-28,8
2020-06-29,7
2020-06-30,7
