Category: All categories

Day,Covid: (United States)
2020-01-01,0
2020-01-02,0
2020-01-03,<1
2020-01-04,0
2020-01-05,0
2020-01-06,<1
2020-01-07,0
2020-01-08,0
2020-01-09,<1
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,<1
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,<1
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,<1
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,<1
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,<1
2020-02-12,<1
2020-02-13,<1
2020-02-14,<1
2020-02-15,<1
2020-02-16,<1
2020-02-17,<1
2020-02-18,<1
2020-02-19,<1
2020-02-20,<1
2020-02-21,<1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,2
2020-02-26,2
2020-02-27,3
2020-02-28,3
2020-02-29,4
2020-03-01,4
2020-03-02,6
2020-03-03,6
2020-03-04,6
2020-03-05,8
2020-03-06,10
2020-03-07,9
2020-03-08,9
2020-03-09,13
2020-03-10,17
2020-03-11,26
2020-03-12,44
2020-03-13,49
2020-03-14,50
2020-03-15,56
2020-03-16,75
2020-03-17,74
2020-03-18,79
2020-03-19,86
2020-03-20,87
2020-03-21,87
2020-03-22,91
2020-03-23,100
2020-03-24,91
2020-03-25,90
2020-03-26,94
2020-03-27,97
2020-03-28,94
2020-03-29,94
2020-03-30,100
2020-03-31,97
2020-04-01,99
2020-04-02,98
2020-04-03,95
2020-04-04,95
2020-04-05,93
2020-04-06,96
2020-04-07,89
2020-04-08,84
2020-04-09,78
2020-04-10,75
2020-04-11,71
2020-04-12,64
2020-04-13,72
2020-04-14,69
2020-04-15,67
2020-04-16,70
2020-04-17,67
2020-04-18,62
2020-04-19,60
2020-04-20,63
2020-04-21,66
2020-04-22,67
2020-04-23,64
2020-04-24,60
2020-04-25,53
2020-04-26,55
2020-04-27,64
2020-04-28,61
2020-04-29,60
2020-04-30,56
2020-05-01,55
2020-05-02,50
2020-05-03,54
2020-05-04,58
2020-05-05,55
2020-05-06,56
2020-05-07,56
2020-05-08,52
2020-05-09,51
2020-05-10,48
2020-05-11,56
2020-05-12,56
2020-05-13,55
2020-05-14,56
2020-05-15,55
2020-05-16,49
2020-05-17,48
2020-05-18,54
2020-05-19,53
2020-05-20,52
2020-05-21,52
2020-05-22,48
2020-05-23,45
2020-05-24,46
2020-05-25,45
2020-05-26,52
2020-05-27,49
2020-05-28,47
2020-05-29,43
2020-05-30,37
2020-05-31,34
2020-06-01,39
2020-06-02,36
2020-06-03,38
2020-06-04,40
2020-06-05,40
2020-06-06,35
2020-06-07,35
2020-06-08,42
2020-06-09,42
2020-06-10,44
2020-06-11,44
2020-06-12,45
2020-06-13,40
2020-06-14,39
2020-06-15,51
2020-06-16,51
2020-06-17,53
2020-06-18,53
2020-06-19,56
2020-06-20,53
2020-06-21,48
2020-06-22,63
2020-06-23,64
2020-06-24,70
2020-06-25,77
2020-06-26,82
2020-06-27,70
2020-06-28,69
2020-06-29,81
2020-06-30,83
