Category: All categories

Day,Virus: (United States)
2020-01-01,1
2020-01-02,1
2020-01-03,1
2020-01-04,1
2020-01-05,1
2020-01-06,1
2020-01-07,1
2020-01-08,2
2020-01-09,2
2020-01-10,2
2020-01-11,1
2020-01-12,1
2020-01-13,2
2020-01-14,2
2020-01-15,2
2020-01-16,2
2020-01-17,2
2020-01-18,2
2020-01-19,2
2020-01-20,2
2020-01-21,7
2020-01-22,8
2020-01-23,10
2020-01-24,14
2020-01-25,15
2020-01-26,15
2020-01-27,17
2020-01-28,18
2020-01-29,17
2020-01-30,19
2020-01-31,19
2020-02-01,15
2020-02-02,11
2020-02-03,10
2020-02-04,10
2020-02-05,9
2020-02-06,9
2020-02-07,10
2020-02-08,9
2020-02-09,8
2020-02-10,9
2020-02-11,9
2020-02-12,8
2020-02-13,9
2020-02-14,8
2020-02-15,7
2020-02-16,7
2020-02-17,7
2020-02-18,7
2020-02-19,7
2020-02-20,6
2020-02-21,6
2020-02-22,6
2020-02-23,7
2020-02-24,10
2020-02-25,14
2020-02-26,20
2020-02-27,23
2020-02-28,24
2020-02-29,25
2020-03-01,21
2020-03-02,31
2020-03-03,29
2020-03-04,27
2020-03-05,32
2020-03-06,34
2020-03-07,33
2020-03-08,29
2020-03-09,39
2020-03-10,46
2020-03-11,57
2020-03-12,100
2020-03-13,91
2020-03-14,79
2020-03-15,75
2020-03-16,84
2020-03-17,80
2020-03-18,76
2020-03-19,75
2020-03-20,70
2020-03-21,65
2020-03-22,65
2020-03-23,58
2020-03-24,54
2020-03-25,53
2020-03-26,53
2020-03-27,49
2020-03-28,47
2020-03-29,45
2020-03-30,41
2020-03-31,39
2020-04-01,39
2020-04-02,37
2020-04-03,34
2020-04-04,35
2020-04-05,35
2020-04-06,33
2020-04-07,29
2020-04-08,26
2020-04-09,24
2020-04-10,23
2020-04-11,23
2020-04-12,20
2020-04-13,20
2020-04-14,18
2020-04-15,17
2020-04-16,18
2020-04-17,17
2020-04-18,17
2020-04-19,16
2020-04-20,15
2020-04-21,14
2020-04-22,15
2020-04-23,14
2020-04-24,14
2020-04-25,13
2020-04-26,13
2020-04-27,12
2020-04-28,12
2020-04-29,12
2020-04-30,11
2020-05-01,11
2020-05-02,10
2020-05-03,11
2020-05-04,10
2020-05-05,11
2020-05-06,10
2020-05-07,10
2020-05-08,9
2020-05-09,9
2020-05-10,9
2020-05-11,9
2020-05-12,9
2020-05-13,9
2020-05-14,9
2020-05-15,9
2020-05-16,8
2020-05-17,8
2020-05-18,8
2020-05-19,8
2020-05-20,7
2020-05-21,7
2020-05-22,7
2020-05-23,7
2020-05-24,7
2020-05-25,7
2020-05-26,6
2020-05-27,6
2020-05-28,6
2020-05-29,5
2020-05-30,5
2020-05-31,5
2020-06-01,5
2020-06-02,5
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,5
2020-06-07,5
2020-06-08,5
2020-06-09,5
2020-06-10,5
2020-06-11,5
2020-06-12,5
2020-06-13,5
2020-06-14,5
2020-06-15,5
2020-06-16,5
2020-06-17,5
2020-06-18,5
2020-06-19,5
2020-06-20,5
2020-06-21,5
2020-06-22,5
2020-06-23,5
2020-06-24,6
2020-06-25,6
2020-06-26,7
2020-06-27,7
2020-06-28,6
2020-06-29,6
2020-06-30,7
